lattitude,longitude,geometry
10.27156868,77.16242193,POINT (77.16242192999999 10.27156868)
9.93835365,76.75800001,POINT (76.75800001 9.93835365)
10.046125,77.04909833333333,POINT (77.04909833333333 10.046125)
9.93977902,76.75525971,POINT (76.75525971 9.93977902)
9.93934726,76.75660532,POINT (76.75660532000001 9.93934726)
9.93960281,76.7577761,POINT (76.7577761 9.93960281)
9.85531619,77.05959993,POINT (77.05959993 9.85531619)
9.98786407,77.00004563,POINT (77.00004563 9.987864070000001)
9.98390554,77.17180217,POINT (77.17180217000001 9.98390554)
9.662889999999999,77.15285833333334,POINT (77.15285833333334 9.662889999999999)
10.23955386132002,77.16434081085026,POINT (77.16434081085026 10.23955386132002)
10.239446028135717,77.16298981569706,POINT (77.16298981569706 10.23944602813572)
9.658791666666668,77.177065,POINT (77.177065 9.658791666666668)
9.84746562,76.82851716,POINT (76.82851716 9.847465619999999)
10.123735,76.92122166666667,POINT (76.92122166666667 10.123735)
9.657475,77.16942833333333,POINT (77.16942833333333 9.657475)
10.02673938,76.89838944,POINT (76.89838944 10.02673938)
9.65893938,77.17106913,POINT (77.17106913000001 9.65893938)
10.248946666666663,77.17243833333333,POINT (77.17243833333333 10.24894666666666)
9.66349,77.16835333333333,POINT (77.16835333333333 9.663489999999999)
10.2678028,77.17202335,POINT (77.17202335 10.2678028)
10.237556328065693,77.14253587648274,POINT (77.14253587648274 10.23755632806569)
9.646535,77.143575,POINT (77.143575 9.646535)
9.97904165,76.99346783,POINT (76.99346783 9.979041649999999)
10.01690014,76.94452079999999,POINT (76.94452079999999 10.01690014)
9.98737018,77.01339448,POINT (77.01339448 9.987370179999999)
9.9873462,77.01341566,POINT (77.01341566000001 9.987346199999999)
9.545918891065037,77.03409188266303,POINT (77.03409188266303 9.545918891065037)
9.63592270625646,77.0593846862813,POINT (77.05938468628131 9.63592270625646)
9.582191573250228,77.06871751132162,POINT (77.06871751132162 9.582191573250228)
9.633614483504724,77.065934696525,POINT (77.06593469652501 9.633614483504724)
9.93997168,76.77124373,POINT (76.77124372999999 9.939971679999999)
9.94473855,76.76072998,POINT (76.76072997999999 9.94473855)
10.08692804,77.06044938,POINT (77.06044937999999 10.08692804)
9.626658333333333,77.17184833333334,POINT (77.17184833333334 9.626658333333333)
9.639241666666667,77.0852783333333,POINT (77.08527833333331 9.639241666666667)
9.638208333333333,77.08544,POINT (77.08544000000001 9.638208333333333)
9.638678333333333,77.08901166666666,POINT (77.08901166666666 9.638678333333333)
9.641128333333334,77.09057333333334,POINT (77.09057333333334 9.641128333333334)
10.00767779,76.96552078,POINT (76.96552078000001 10.00767779)
9.5613084,76.99594227,POINT (76.99594227 9.5613084)
9.96178201,76.75722806,POINT (76.75722806 9.96178201)
10.014986666666664,76.93922666666667,POINT (76.93922666666667 10.01498666666666)
9.600873836316168,77.16050215065479,POINT (77.16050215065479 9.600873836316168)
9.6016139164567,77.16039595194161,POINT (77.16039595194161 9.601613916456699)
9.600155130028725,77.16188843362033,POINT (77.16188843362033 9.600155130028725)
10.01404929,76.95096855,POINT (76.95096855 10.01404929)
9.98259196,76.73921594,POINT (76.73921593999999 9.982591960000001)
